freq,purpose,c_dest,duration,age,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PROF,FOR,N_GE1,Y_LT15,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	183524 u
A,PROF,FOR,N_GE1,Y_LT15,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,PROF,FOR,N_GE1,Y_LT15,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	3690735 	: 
A,PROF,FOR,N_GE1,Y_LT15,NR,EA20	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE1,Y_LT15,NR,ES	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE1,Y_LT15,NR,EU27_2020	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y15-24,NR,AL	: 	: 	: 	: 	: 	: u	: 	335761 u	: u	: 	: 	: 
A,PROF,FOR,N_GE4,Y15-24,NR,AT	1018864 u	1274369 u	938253 u	1756219 u	495310 u	1233044 u	875633 u	768799 u	: u	: u	1562819 u	1117619 
A,PROF,FOR,N_GE4,Y15-24,NR,BE	1715558 u	: u	644974 	1313488 u	1308035 u	: u	1154083 u	: u	: u	: u	1304567 u	706932 u
A,PROF,FOR,N_GE4,Y15-24,NR,BG	: u	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y15-24,NR,CH	: u	: 	: u	: 	: u	: u	: 	: 	: u	: 	: 	: 
A,PROF,FOR,N_GE4,Y15-24,NR,CY	1216355 bu	: u	: u	: u	: u	: u	: 	: u	: u	: 	: u	: 
A,PROF,FOR,N_GE4,Y15-24,NR,CZ	: 	: u	: 	: u	: 	: u	: u	: 	: 	: 	: u	: 
A,PROF,FOR,N_GE4,Y15-24,NR,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y15-24,NR,DK	: u	: u	: u	: u	: u	: u	: u	1634114 u	: 	: u	: u	: u
A,PROF,FOR,N_GE4,Y15-24,NR,EA20	20166509 	13691369 	19857171 	10528319 	14284831 	19870439 	15779818 	11897838 	7388335 	4710739 	8963224 	6842899 
A,PROF,FOR,N_GE4,Y15-24,NR,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y15-24,NR,EL	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u
A,PROF,FOR,N_GE4,Y15-24,NR,ES	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y15-24,NR,EU27_2020	24011303 e	21029676 e	20968021 	12140409 	15155714 	21259609 	17757131 	14186882 	7944579 	6191944 	11192977 	9635893 e
A,PROF,FOR,N_GE4,Y15-24,NR,FI	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y15-24,NR,FR	3852366 u	3893846 u	2997538 u	: u	1113215 u	: u	3111236 u	: u	: u	: 	: u	: u
A,PROF,FOR,N_GE4,Y15-24,NR,HR	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y15-24,NR,HU	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: 
A,PROF,FOR,N_GE4,Y15-24,NR,IE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u
A,PROF,FOR,N_GE4,Y15-24,NR,IT	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,PROF,FOR,N_GE4,Y15-24,NR,LT	75035 	108417 	125325 	130077 	162400 	171971 	156540 	170552 	79556 	91751 	215807 	231291 
A,PROF,FOR,N_GE4,Y15-24,NR,LU	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y15-24,NR,LV	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: u	: u
A,PROF,FOR,N_GE4,Y15-24,NR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y15-24,NR,MT	11844 u	21132 u	: u	: u	: u	: u	42459 u	: u	: u	: u	47870 u	93950 u
A,PROF,FOR,N_GE4,Y15-24,NR,NL	: u	: u	: u	: u	: u	838571 u	513875 u	1010998 u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y15-24,NR,NO	: 	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u	: u
A,PROF,FOR,N_GE4,Y15-24,NR,PL	3010926 u	6408653 	512363 bu	820880 	632336 	238792 u	821572 	473155 	318600 u	450189 u	813218 	562993 
A,PROF,FOR,N_GE4,Y15-24,NR,PT	: u	: u	: u	604112 u	295877 u	372376 u	347789 u	359973 u	: u	: u	601834 u	277453 u
A,PROF,FOR,N_GE4,Y15-24,NR,RO	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y15-24,NR,SE	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,PROF,FOR,N_GE4,Y15-24,NR,SI	166351 u	150965 u	: u	: u	: u	: u	: u	: u	: 	346720 u	453051 u	352412 u
A,PROF,FOR,N_GE4,Y15-24,NR,SK	: u	: u	: 	: 	: 	: u	: u	: 	: 	: 	: 	: u
A,PROF,FOR,N_GE4,Y15-24,NR,UK	2025936 	2654275 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y25-34,NR,AL	: 	: 	: 	: 	: 	553082 u	: 	496879 u	: u	: 	: 	: 
A,PROF,FOR,N_GE4,Y25-34,NR,AT	1903725 u	1294695 u	1820193 	1868689 	1313840 u	832844 u	1059475 u	1511165 u	1381583 	1071747 u	2209927 	1401094 
A,PROF,FOR,N_GE4,Y25-34,NR,BE	1800366 	870616 	923754 	846821 	667014 	915866 bu	1224647 	957878 	: u	1467419 u	1005315 u	955418 
A,PROF,FOR,N_GE4,Y25-34,NR,BG	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,PROF,FOR,N_GE4,Y25-34,NR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,PROF,FOR,N_GE4,Y25-34,NR,CY	213618 bu	296999 u	242862 u	119741 u	: u	: u	: u	: u	: u	: u	: u	182261 u
A,PROF,FOR,N_GE4,Y25-34,NR,CZ	: u	: u	: u	: u	: u	: u	688631 u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y25-34,NR,DE	11317411 u	18107659 u	7242776 u	5357369 u	10048504 u	13611876 u	9104567 u	: u	: u	: u	: u	14127299 u
A,PROF,FOR,N_GE4,Y25-34,NR,DK	1290891 u	: u	: u	: u	: u	: u	743218 u	1353884 u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y25-34,NR,EA20	29833309 	33742119 	27700475 	18664380 	26828550 	30758257 	25090653 	33588642 	9486411 	21449082 	17468779 	27465245 
A,PROF,FOR,N_GE4,Y25-34,NR,EE	: u	445474 u	480044 	803645 	474772 u	387321 u	393546 u	424665 u	495375 u	: u	163576 u	335596 u
A,PROF,FOR,N_GE4,Y25-34,NR,EL	: u	253484 u	210986 u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y25-34,NR,ES	2517645 	2894762 	3807601 	1605843 bu	2174927 u	2586276 u	2603759 	1726948 u	: u	: u	: u	980320 u
A,PROF,FOR,N_GE4,Y25-34,NR,EU27_2020	37142162 e	42638460 e	32518429 	22066294 	30169088 	37355323 	29660001 	40026304 	11324702 	24038143 	24356360 	33398870 e
A,PROF,FOR,N_GE4,Y25-34,NR,FI	2623696 bu	963119 u	1945061 u	1510555 u	2185572 u	1362628 u	727653 u	2379675 u	: u	: u	891437 u	893684 u
A,PROF,FOR,N_GE4,Y25-34,NR,FR	3038366 	2576069 	1800349 u	2091335 	2309782 	3408904 	1998388 	3225498 	: u	: u	735812 u	: u
A,PROF,FOR,N_GE4,Y25-34,NR,HR	: u	732649 u	3090968 u	: u	580896 u	717849 u	1179785 u	: u	: u	: u	: u	278351 u
A,PROF,FOR,N_GE4,Y25-34,NR,HU	362832 	202909 	259309 	287885 	281811 	314347 	106326 u	250140 	156449 	141866 	525211 	418538 
A,PROF,FOR,N_GE4,Y25-34,NR,IE	: u	: u	439613 u	: u	697231 u	: u	: u	661724 u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y25-34,NR,IT	2038477 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y25-34,NR,LT	712781 	398443 	466115 	496048 	569069 	589428 	699676 	675084 	181431 	323157 	801309 	924026 
A,PROF,FOR,N_GE4,Y25-34,NR,LU	179919 	180603 u	90613 u	: u	: u	533484 u	291306 u	280804 	81636 u	563877 u	155246 u	188843 
A,PROF,FOR,N_GE4,Y25-34,NR,LV	351645 u	374006 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y25-34,NR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y25-34,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 
A,PROF,FOR,N_GE4,Y25-34,NR,MT	81167 	95636 	148208 bu	156119 u	98827 u	156932 	162200 	136389 	71250 u	66126 u	164322 u	110826 
A,PROF,FOR,N_GE4,Y25-34,NR,NL	: u	: u	660140 u	1236478 u	1277540 u	2234597 	1300653 	1656546 	: u	: u	1868864 	3579366 
A,PROF,FOR,N_GE4,Y25-34,NR,NO	: 	778592 u	758852 u	819983 u	: u	: u	517901 u	: 	: 	: u	900878 u	925980 u
A,PROF,FOR,N_GE4,Y25-34,NR,PL	3930940 	6170238 	1982396 b	1887824 	1802185 	2789884 	2331822 	2950762 	1369825 	1092320 	2161805 	1408695 
A,PROF,FOR,N_GE4,Y25-34,NR,PT	704890 u	532115 u	360358 u	480138 u	384473 u	324460 u	537837 u	474484 u	: u	: u	344459 u	477731 
A,PROF,FOR,N_GE4,Y25-34,NR,RO	: 	: u	: 	: 	: u	: u	: 	: 	: 	: u	: u	: 
A,PROF,FOR,N_GE4,Y25-34,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y25-34,NR,SE	: 	: 	: u	: u	: u	1227579 u	: u	: u	: u	: u	: u	: 
A,PROF,FOR,N_GE4,Y25-34,NR,SI	333030 u	291387 u	529014 u	264492 u	283441 u	: u	: u	: u	: u	308296 u	330999 u	480336 u
A,PROF,FOR,N_GE4,Y25-34,NR,SK	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,PROF,FOR,N_GE4,Y25-34,NR,UK	7224127 	8426183 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y25-44,NR,AL	: 	: 	: 	: 	: 	1454663 	: 	830777 	: u	: 	: 	: 
A,PROF,FOR,N_GE4,Y25-44,NR,AT	3086288 	2183319 	3194224 	2765432 	2521899 	1559205 	1833519 	2913474 	2248643 	1765857 	3337917 	2573759 
A,PROF,FOR,N_GE4,Y25-44,NR,BE	5102622 	1671068 	1751576 	1493639 	1597556 	1561910 b	2276508 	1882653 	1957694 u	1975433 u	2165581 	1649808 
A,PROF,FOR,N_GE4,Y25-44,NR,BG	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y25-44,NR,CH	1874606 u	: u	2741300 u	1227891 u	: u	1040698 u	1070342 u	3839236 u	: u	: u	: u	: 
A,PROF,FOR,N_GE4,Y25-44,NR,CY	460905 b	560049 	601732 	646902 	397115 	839269 u	469454 u	442646 u	: u	: u	300561 u	466021 
A,PROF,FOR,N_GE4,Y25-44,NR,CZ	1152000 u	865208 u	1002992 u	778006 u	: u	953928 u	1048803 u	1006274 u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y25-44,NR,DE	24160567 	24706084 	21098747 	9623595 	18411216 	24013495 	16108229 	22429791 	: u	17800618 u	12137379 u	19757588 
A,PROF,FOR,N_GE4,Y25-44,NR,DK	2335870 	1521631 bu	1732442 u	1442284 u	874519 u	2979018 	1344312 u	2589542 	: u	: u	1730805 u	2076583 u
A,PROF,FOR,N_GE4,Y25-44,NR,EA20	60854912 	57009900 	57061843 	38759030 	49234123 	55362786 	52247677 	57810113 	16299191 	34709756 	36816056 	48079467 
A,PROF,FOR,N_GE4,Y25-44,NR,EE	448150 u	819150 	672073 	1214685 	913534 	766393 	875984 	735135 	808565 u	728899 u	336060 u	796685 
A,PROF,FOR,N_GE4,Y25-44,NR,EL	193685 u	480564 	363626 u	225376 u	292539 u	380359 	356931 u	248301 u	: u	: u	139872 u	159859 u
A,PROF,FOR,N_GE4,Y25-44,NR,ES	5442542 	5934548 	7002722 	3969361 b	4299645 	4568086 	4527260 	3421065 	1350895 u	2320133 u	2746359 	3865957 
A,PROF,FOR,N_GE4,Y25-44,NR,EU27_2020	76135761 e	72430700 e	65430937 	46148445 	56324659 	68367715 	62225442 	70014666 	21235494 	41364643 	48855378 	58651337 e
A,PROF,FOR,N_GE4,Y25-44,NR,FI	4071950 b	2742431 	2771212 	2532287 	3437928 	2461994 	2072051 	4564826 	1712956 u	: u	2307460 	1847060 
A,PROF,FOR,N_GE4,Y25-44,NR,FR	5418650 	5514308 	4548308 	4487865 	4669869 	6035712 	3825332 	5990252 	1279190 u	1928757 u	2184519 	2909912 u
A,PROF,FOR,N_GE4,Y25-44,NR,HR	772868 u	1844751 	3958233 	579080 u	801980 u	1188230 	1817616 	624029 	: u	: u	637938 u	472646 u
A,PROF,FOR,N_GE4,Y25-44,NR,HU	760380 	582990 	682917 	795807 	862969 	818402 	364874 	675080 	313904 	494293 	1041816 	1080852 
A,PROF,FOR,N_GE4,Y25-44,NR,IE	781170 	728733 	1005974 	957242 	1426095 	858490 	1059137 	1166921 	386808 u	: u	: u	: u
A,PROF,FOR,N_GE4,Y25-44,NR,IT	4527047 u	2596012 u	4851075 bu	3161514 u	: u	: u	8668199 u	5116073 u	: u	: u	: u	2283662 u
A,PROF,FOR,N_GE4,Y25-44,NR,LT	1213020 	723552 	929661 	1025851 	1099714 	1143221 	1275688 	1295373 	418022 	712735 	1616804 	1862684 
A,PROF,FOR,N_GE4,Y25-44,NR,LU	343857 	327998 	220805 	196960 u	140932 u	687605 	589550 	508320 	342746 	785785 	414011 	662819 
A,PROF,FOR,N_GE4,Y25-44,NR,LV	611944 u	665096 u	: u	: u	: u	285430 u	512056 u	577939 u	: u	: u	322421 u	628452 u
A,PROF,FOR,N_GE4,Y25-44,NR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y25-44,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 
A,PROF,FOR,N_GE4,Y25-44,NR,MT	158827 	185396 	244130 b	285568 	151634 	207299 	236474 	229060 	134750 u	126341 u	206071 	225121 
A,PROF,FOR,N_GE4,Y25-44,NR,NL	1352770 bu	1752369 	1810005 	1993612 	2042305 	3798165 	2316455 	2770525 	771170 u	867283 u	2664539 	5104864 
A,PROF,FOR,N_GE4,Y25-44,NR,NO	: 	2087251 	2078200 	1686937 	1073994 u	1794059 u	1691786 	: 	: 	2890307 u	1459392 	1326185 u
A,PROF,FOR,N_GE4,Y25-44,NR,PL	9361474 	10725316 	3486255 b	3514915 	3638677 	5048910 	4572682 	5369448 	3492955 	3281543 	5390421 	3771942 
A,PROF,FOR,N_GE4,Y25-44,NR,PT	1511407 	1753347 	893763 	1759415 	1082553 	847770 	1239394 	1122503 	647659 u	807006 u	1062889 	985559 
A,PROF,FOR,N_GE4,Y25-44,NR,RO	: u	: u	: u	: 	: u	: u	: 	: u	: 	: u	: u	: u
A,PROF,FOR,N_GE4,Y25-44,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y25-44,NR,SE	: 	: 	: u	: u	: u	3056282 	2575956 	2327306 	: u	: u	: u	: 
A,PROF,FOR,N_GE4,Y25-44,NR,SI	525938 	642434 	702148 	646144 	486142 	407486 u	818362 u	: u	: u	447285 u	577292 	877821 
A,PROF,FOR,N_GE4,Y25-44,NR,SK	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y25-44,NR,UK	17190524 	18204211 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y35-44,NR,AL	: 	: 	: 	: 	: 	901581 	: 	333898 u	: u	: 	: 	: 
A,PROF,FOR,N_GE4,Y35-44,NR,AT	1182563 u	888624 u	1374031 	896743 u	1208059 	726361 u	774044 u	1402309 u	867060 u	694111 u	1127990 u	1172666 
A,PROF,FOR,N_GE4,Y35-44,NR,BE	3302255 	800452 	827823 	646818 	930543 	646044 bu	1051861 	924775 u	: u	: u	1160266 	694390 
A,PROF,FOR,N_GE4,Y35-44,NR,BG	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y35-44,NR,CH	: u	: u	2228179 u	: u	: u	691922 u	: u	: u	: u	: u	: u	: 
A,PROF,FOR,N_GE4,Y35-44,NR,CY	247287 b	263050 u	358870 u	527162 u	297520 u	540803 u	281618 u	300931 u	: u	: u	222141 u	283760 u
A,PROF,FOR,N_GE4,Y35-44,NR,CZ	: u	: u	: u	565935 u	: u	692708 u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y35-44,NR,DE	12843157 	6598425 u	13855972 	4266226 u	8362712 u	10401619 u	7003662 u	6500508 u	: u	: u	6556993 u	5630289 u
A,PROF,FOR,N_GE4,Y35-44,NR,DK	1044979 u	: u	666992 u	1006070 u	573461 u	1077884 u	: u	1235658 u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y35-44,NR,EA20	31021603 	23267781 	29361367 	20094649 	22405573 	24604529 	27157024 	24221470 	6812780 	13260674 	19347277 	20614222 
A,PROF,FOR,N_GE4,Y35-44,NR,EE	238956 u	373676 u	192030 u	411040 u	438762 u	379072 u	482437 u	310470 u	313190 u	312039 u	172483 u	461088 u
A,PROF,FOR,N_GE4,Y35-44,NR,EL	: u	227080 u	: u	: u	165741 u	253237 u	: u	148746 u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y35-44,NR,ES	2924896 	3039786 	3195120 	2363518 b	2124717 	1981810 	1923501 	1694118 	: u	1550286 u	1371559 	2885637 
A,PROF,FOR,N_GE4,Y35-44,NR,EU27_2020	38993599 e	29792239 e	32912508 	24082150 	26155572 	31012392 	32565441 	29988361 	9910792 	17326501 	24499018 	25252467 e
A,PROF,FOR,N_GE4,Y35-44,NR,FI	1448254 bu	1779312 	826151 u	1021732 u	1252356 u	1099366 u	1344398 u	2185151 	: u	: u	1416022 u	953376 u
A,PROF,FOR,N_GE4,Y35-44,NR,FR	2380283 	2938239 	2747959 	2396530 	2360087 	2626808 	1826945 	2764754 	: u	: u	1448707 u	1410970 u
A,PROF,FOR,N_GE4,Y35-44,NR,HR	442690 u	1112101 u	867266 u	493188 u	221083 u	470381 u	637831 u	381116 u	: u	: u	474178 u	: u
A,PROF,FOR,N_GE4,Y35-44,NR,HU	397548 	380081 	423608 	507922 	581158 	504055 	258548 	424940 	157455 	352427 	516605 	662314 
A,PROF,FOR,N_GE4,Y35-44,NR,IE	466213 	570178 	566361 	574150 u	728863 	578050 	658431 	505197 u	233394 u	: u	: u	: u
A,PROF,FOR,N_GE4,Y35-44,NR,IT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y35-44,NR,LT	500240 	325110 	463547 	529803 	530646 	553794 	576012 	620289 	236591 	389578 	815494 	938658 
A,PROF,FOR,N_GE4,Y35-44,NR,LU	163938 	147395 u	130192 	116764 u	74255 u	154121 u	298244 u	227516 u	261110 u	221908 	258765 	473976 
A,PROF,FOR,N_GE4,Y35-44,NR,LV	260299 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	252623 u	426920 u
A,PROF,FOR,N_GE4,Y35-44,NR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y35-44,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y35-44,NR,MT	77659 	89760 	95922 bu	129449 u	: u	50367 u	74273 u	92671 u	: u	: u	: u	114295 
A,PROF,FOR,N_GE4,Y35-44,NR,NL	511101 bu	1234846 	1149865 u	757134 u	764766 u	1563568 	1015802 	1113980 	583148 u	607089 u	795675 	1525499 
A,PROF,FOR,N_GE4,Y35-44,NR,NO	: 	1308660 u	1319348 u	866954 u	533034 u	766430 u	1173886 u	: 	: 	2726368 u	558514 u	: u
A,PROF,FOR,N_GE4,Y35-44,NR,PL	5430533 	4555078 	1503859 b	1627091 	1836491 	2259026 	2240860 	2418686 	2123130 	2189223 	3228615 	2363248 
A,PROF,FOR,N_GE4,Y35-44,NR,PT	806517 u	1221232 	533405 u	1279276 	698080 	523310 u	701557 	648020 	513981 u	: u	718430 	507828 
A,PROF,FOR,N_GE4,Y35-44,NR,RO	: u	: u	: u	: 	: u	: u	: 	: u	: 	: 	: u	: u
A,PROF,FOR,N_GE4,Y35-44,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y35-44,NR,SE	: 	: 	: u	: u	: u	1828702 u	1922580 u	1283560 u	: u	: u	: u	: 
A,PROF,FOR,N_GE4,Y35-44,NR,SI	192908 u	351047 u	: u	381652 u	202700 u	157553 u	446473 u	: u	: u	: u	246293 u	397485 u
A,PROF,FOR,N_GE4,Y35-44,NR,SK	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y35-44,NR,UK	9966396 	9778028 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y45-54,NR,AL	: 	: 	: 	: 	: 	633309 	: 	290243 u	: u	: 	: 	: 
A,PROF,FOR,N_GE4,Y45-54,NR,AT	826090 	974590 u	1417093 	1114279 	1192318 	905455 	630380 u	784526 u	: u	872674 u	807123 u	1226223 
A,PROF,FOR,N_GE4,Y45-54,NR,BE	2632834 	826017 	443811 u	461280 	1457475 	720005 b	987937 	551679 u	965323 u	669290 u	952684 u	524193 
A,PROF,FOR,N_GE4,Y45-54,NR,BG	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,PROF,FOR,N_GE4,Y45-54,NR,CH	: u	: u	: u	: u	1151104 u	: u	: u	892630 u	: u	: u	: u	: 
A,PROF,FOR,N_GE4,Y45-54,NR,CY	293429 bu	211979 u	629597 u	357397 u	204226 u	: u	244459 u	169080 u	: u	: u	: u	207545 u
A,PROF,FOR,N_GE4,Y45-54,NR,CZ	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y45-54,NR,DE	8533139 	12062572 	11474504 	9625518 u	16083416 	7654587 u	11240190 	7214086 u	3800007 u	: u	7008746 u	7422880 u
A,PROF,FOR,N_GE4,Y45-54,NR,DK	1894336 	732618 bu	1155541 u	1625749 	686659 u	: u	968543 u	1311705 u	: u	: u	: u	1120909 u
A,PROF,FOR,N_GE4,Y45-54,NR,EA20	23844724 	23065516 	25433362 	22817295 	30676027 	20007890 	26592728 	21086110 	9838275 	8376362 	18948824 	20606412 
A,PROF,FOR,N_GE4,Y45-54,NR,EE	: u	141222 u	501172 	241247 u	227500 u	: u	269037 u	237920 u	: u	: u	: u	366936 u
A,PROF,FOR,N_GE4,Y45-54,NR,EL	: u	281884 	: u	118881 u	87478 u	124616 u	: u	451553 u	: u	: u	100418 u	107118 u
A,PROF,FOR,N_GE4,Y45-54,NR,ES	2329235 	1893947 	2511252 	1181195 b	1819429 	1639412 	1727915 	2054366 	642858 u	877404 u	1151624 	1583426 
A,PROF,FOR,N_GE4,Y45-54,NR,EU27_2020	29851977 e	27010893 e	28573495 	27035547 	33541097 	26940740 	33724092 	26321972 	11922893 	12093790 	22383334 	25034315 e
A,PROF,FOR,N_GE4,Y45-54,NR,FI	1296470 b	658994 u	932806 u	1618118 u	1256696 	1186304 u	1271264 	1726381 	641927 u	: u	1236753 u	1031522 u
A,PROF,FOR,N_GE4,Y45-54,NR,FR	2099905 	1701664 	1638859 u	1053763 u	1498837 	1873287 	1888846 	2164409 	899335 u	: u	2568544 	2016553 u
A,PROF,FOR,N_GE4,Y45-54,NR,HR	696587 u	: u	1018074 u	: u	: u	: u	230850 u	204396 u	: u	: u	203220 u	: u
A,PROF,FOR,N_GE4,Y45-54,NR,HU	208948 	191020 	235426 	222658 	217204 	155316 u	162620 	278217 	142751 	194055 	240151 	482690 
A,PROF,FOR,N_GE4,Y45-54,NR,IE	388841 	434755 	456453 	611246 	864153 	468724 	532028 	626942 	221128 	: u	: u	: u
A,PROF,FOR,N_GE4,Y45-54,NR,IT	2451733 u	: u	: u	: u	: u	: u	3979233 u	: u	: u	: u	: u	: u
A,PROF,FOR,N_GE4,Y45-54,NR,LT	231477 	263819 	273723 	311136 	288398 	314999 	364714 	353147 	150026 	188553 	449886 	516457 
A,PROF,FOR,N_GE4,Y45-54,NR,LU	163120 	150470 	262612 	126474 	109586 u	278334 	178170 u	284570 	216452 u	153597 u	309288 	429004 
A,PROF,FOR,N_GE4,Y45-54,NR,LV	195395 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	388877 u
A,PROF,FOR,N_GE4,Y45-54,NR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y45-54,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 
A,PROF,FOR,N_GE4,Y45-54,NR,MT	62812 	87671 	: u	: u	: u	50824 u	69113 u	58279 u	: u	: u	: u	30979 u
A,PROF,FOR,N_GE4,Y45-54,NR,NL	736863 bu	1059443 u	836453 u	771906 u	1088663 	1453756 	1519101 	1652047 	: u	689169 u	1727382 	1796490 
A,PROF,FOR,N_GE4,Y45-54,NR,NO	: 	1023245 u	1159762 u	1081644 	567869 u	905382 u	1101559 u	: 	: 	: u	1126362 u	664706 u
A,PROF,FOR,N_GE4,Y45-54,NR,PL	3015791 u	2322297 u	1210114 b	1491643 	1202380 	1845052 	1512254 	1377929 	1377114 	1887822 	1759206 	2013748 
A,PROF,FOR,N_GE4,Y45-54,NR,PT	258210 u	260271 u	639022 u	452062 u	481900 	653143 	738470 	836681 	246250 u	254281 u	478916 	671935 
A,PROF,FOR,N_GE4,Y45-54,NR,RO	: u	: 	: 	: u	: 	: u	: u	: u	: u	: 	: u	: 
A,PROF,FOR,N_GE4,Y45-54,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,PROF,FOR,N_GE4,Y45-54,NR,SE	: 	: 	: u	: u	: u	3765050 	4138973 	1796319 	: u	: u	: u	: 
A,PROF,FOR,N_GE4,Y45-54,NR,SI	158972 u	: u	123050 u	: u	284922 u	: u	: u	260635 u	: u	: u	183800 u	: u
A,PROF,FOR,N_GE4,Y45-54,NR,SK	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
