freq,c_dest,purpose,duration,sex,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,FOR,PER,N1-3,M,NR,CZ	556587 	532102 	652923 	636520 	680993 	589008 	883780 	802143 	315177 	272455 	665366 	849322 
A,FOR,PER,N1-3,M,NR,DE	7430973 	7624475 	6846940 	8077883 	9335882 	7060635 	10197084 	7972105 	4191845 	4907667 	7393299 	8618761 
A,FOR,PER,N1-3,M,NR,DK	701903 	1280853 b	1098059 	1444463 	1160742 	980980 	433453 	1296252 	385098 	347523 	717997 	682960 
A,FOR,PER,N1-3,M,NR,EA20	22157444 	21945587 	21614468 	23098557 	24775883 	24324855 	28301606 	26274709 	10620308 	12856220 	24160195 	30302418 
A,FOR,PER,N1-3,M,NR,EE	168430 	178507 	195340 	172324 	189426 	180234 	298815 	221595 	79458 	50202 	166303 	201265 
A,FOR,PER,N1-3,M,NR,EL	41819 	35083 	49062 	52562 	49970 	63923 	77204 	69525 	27456 u	31963 u	79343 	69586 
A,FOR,PER,N1-3,M,NR,ES	1415136 	1261226 	1401955 	1747127 b	1619253 	1828606 	2108130 	2498087 	652729 	896940 	1585949 	2083790 
A,FOR,PER,N1-3,M,NR,EU27_2020	26987061 e	27261025 e	26862685 	29104922 	30892569 	30768531 	34949132 	33488780 	13097543 	15660042 	29427868 	35946114 e
A,FOR,PER,N1-3,M,NR,FI	1692324 b	1702351 	1619885 	1629789 	1722605 	1706953 	1398125 	942355 	374764 	361588 	666694 	1155404 
A,FOR,PER,N1-3,M,NR,FR	2532795 	2506512 	2726905 	2518341 	2359231 	3088495 	3258582 	3005935 	1454917 	1455947 	3348403 	4688735 
A,FOR,PER,N1-3,M,NR,HR	531752 	531857 	481186 	414519 	312274 	419124 	446941 	508858 	131637 	142332 	319590 	551918 
A,FOR,PER,N1-3,M,NR,HU	685331 	841917 	1026623 	1195882 	1481016 	1584853 	1701568 	1842198 	659737 	621193 	1046272 	1099166 
A,FOR,PER,N1-3,M,NR,IE	731848 	708675 	714030 	757410 	733427 	940635 	1066796 	995324 	343189 	298061 	1211916 	1442579 
A,FOR,PER,N1-3,M,NR,IT	1795675 	1278891 	1116852 b	1287535 	1272703 	1469765 	1625078 	1752653 	325015 u	365276 u	872095 	850501 
A,FOR,PER,N1-3,M,NR,LT	267810 	279661 	251949 	271936 	265033 	245805 	278921 	286115 	80447 	79500 	144659 	168241 
A,FOR,PER,N1-3,M,NR,LU	241426 	257452 	334315 	287437 	247922 	360758 	414482 	443828 	229078 	293390 	423182 	504517 
A,FOR,PER,N1-3,M,NR,LV	238431 	194501 	187631 	221605 	242855 	211651 	259480 	228130 	73019 u	71061 u	217448 	264434 
A,FOR,PER,N1-3,M,NR,ME	: 	: 	: 	: 	110647 	70584 	: 	: 	: 	: 	: 	: 
A,FOR,PER,N1-3,M,NR,MK	: 	: 	: 	: 	: 	: 	: 	43926 	13870 u	39192 	: 	: 
A,FOR,PER,N1-3,M,NR,MT	25759 	31220 	29593 b	36520 	37070 	52133 	63956 	75871 	31120 	33017 	67619 	93998 
A,FOR,PER,N1-3,M,NR,NL	1835622 b	1862783 	1821567 	1695426 	1859639 	1989141 	2071283 	2268664 	686271 	1223684 	2374668 	2966598 
A,FOR,PER,N1-3,M,NR,NO	: 	954908 	1172055 	1097759 	1083707 	1028740 	1129340 	: 	: 	244276 	978618 	852071 
A,FOR,PER,N1-3,M,NR,PL	1145451 	923563 	776302 b	983634 	949182 	1052348 	1126219 	1095417 	620907 	655829 	1040431 	1020855 
A,FOR,PER,N1-3,M,NR,PT	165624 	92547 	130984 	166320 	181550 	207754 	206020 	277552 	90068 	69061 	240219 	351882 
A,FOR,PER,N1-3,M,NR,RO	37737 u	62175 u	32294 u	66752 	71405 	70551 	97641 	113250 	: u	30310 u	83108 	111059 
A,FOR,PER,N1-3,M,NR,RS	: 	: 	: 	: 	: 	: 	145170 u	: 	: 	: 	: 	: 
A,FOR,PER,N1-3,M,NR,SE	: 	: 	1581468 	1619795 	1709777 	2070557 	2299356 	1886629 	448538 	847128 	1633010 	: 
A,FOR,PER,N1-3,M,NR,SI	443584 	610798 	496373 	578513 	517645 	628946 	586588 	673465 	218150 	376636 	538235 	887597 
A,FOR,PER,N1-3,M,NR,SK	196985 u	163972 bu	294040 	243466 u	350488 u	526866 	586168 	538644 	115067 u	275169 	571515 	756282 
A,FOR,PER,N1-3,M,NR,UK	3877019 	4051201 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,PER,N1-3,T,NR,AL	: 	: 	: 	: 	: 	242447 	: 	284053 	128755 	: 	: 	: 
A,FOR,PER,N1-3,T,NR,AT	2818254 	2723405 	2850096 	2833028 	3217806 	3221235 	3286714 	3414754 	1352403 	2098753 	4464312 	5204437 
A,FOR,PER,N1-3,T,NR,BE	2156721 	2624343 	2884899 	3032998 	3743983 	3497669 b	3737113 	3925437 	1483491 	1748240 	3478342 	3951866 
A,FOR,PER,N1-3,T,NR,BG	135246 b	162018 	189931 	130947 	149846 	178450 	284327 	347092 	59736 u	58222 u	198708 	323388 
A,FOR,PER,N1-3,T,NR,CH	3224504 	3986475 	3644864 	4361258 	3938949 	4629401 	4684050 	3685543 	1615834 	1328335 	2790195 	: 
A,FOR,PER,N1-3,T,NR,CY	157928 b	171641 	148305 	156972 	183436 	235260 	255306 	301674 	88252 	76395 	258192 	343048 
A,FOR,PER,N1-3,T,NR,CZ	1050506 	1111178 	1180757 	1237811 	1275739 	1328754 	1802794 	1668864 	585901 	497229 	1319265 	1753982 
A,FOR,PER,N1-3,T,NR,DE	13876657 	14900957 	13920042 	15354115 	17094355 	14924947 	19057034 	17542173 	7397003 	9406049 	15018847 	16362660 
A,FOR,PER,N1-3,T,NR,DK	1527244 	2374379 b	2599579 	2717992 	2507991 	1980523 	998044 	2753471 	823086 	805295 	1320328 	1502051 
A,FOR,PER,N1-3,T,NR,EA20	43300169 	43333070 	44026961 	45854204 	48367187 	50912010 	56818193 	55812161 	20590043 	25235827 	49809503 	60064024 
A,FOR,PER,N1-3,T,NR,EE	459316 	395321 	485265 	368095 	393638 	419706 	646343 	521943 	166003 	128947 	371472 	461999 
A,FOR,PER,N1-3,T,NR,EL	90327 	67605 	97519 	107218 	95920 	123584 	158844 	157296 	52714 	64415 	134740 	136230 
A,FOR,PER,N1-3,T,NR,ES	2913628 	2555744 	2906575 	3423014 b	3434381 	4116844 	4526781 	5164212 	1541082 	1741155 	3694028 	4206306 
A,FOR,PER,N1-3,T,NR,EU27_2020	52316568 e	53496373 e	54689757 	57325584 	60088249 	64189703 	69430378 	70193008 	25411445 	30061016 	59620316 	71191656 e
A,FOR,PER,N1-3,T,NR,FI	3537344 b	3581500 	3391192 	3541532 	3545942 	3759778 	3129837 	2212866 	688601 	633727 	1341858 	2463593 
A,FOR,PER,N1-3,T,NR,FR	4858392 	4962452 	5356788 	5047258 	4722287 	6316258 	6935434 	6532242 	3022539 	2945857 	6618183 	9145359 
A,FOR,PER,N1-3,T,NR,HR	1054293 	1021039 	1027094 	919897 	640416 	759033 	809991 	995772 	211286 	247617 	599797 	931882 
A,FOR,PER,N1-3,T,NR,HU	1418008 	1678402 	2027675 	2363757 	2913650 	3075831 	3289223 	3460284 	1209410 	1119290 	1935897 	2045578 
A,FOR,PER,N1-3,T,NR,IE	1440737 	1481213 	1488794 	1573439 	1572400 	2025638 	2204700 	2218865 	757300 	628369 	2398771 	3089055 
A,FOR,PER,N1-3,T,NR,IT	3371504 	2381599 	2498814 b	2570124 	2467363 	3068314 	3313624 	3120915 	756194 	681336 	1677660 	1808073 
A,FOR,PER,N1-3,T,NR,LT	437053 	448477 	430686 	445482 	467922 	448611 	487839 	522906 	155839 	165786 	329521 	383291 
A,FOR,PER,N1-3,T,NR,LU	476851 	491504 	603412 	552818 	453780 	695785 	760567 	820851 	446470 	556782 	847070 	978687 
A,FOR,PER,N1-3,T,NR,LV	502822 	390320 	424494 	466337 	496219 	495406 	533476 	519987 	197761 	147280 	501018 	585008 
A,FOR,PER,N1-3,T,NR,ME	: 	: 	: 	: 	196302 	163437 	: 	: 	: 	: 	: 	: 
A,FOR,PER,N1-3,T,NR,MK	: 	: 	: 	: 	: 	: 	: 	99133 	23365 	69770 	: 	: 
A,FOR,PER,N1-3,T,NR,MT	46841 	59273 	57048 b	64305 	72445 	102008 	123610 	143886 	49485 	60830 	133562 	174902 
A,FOR,PER,N1-3,T,NR,NL	3479117 b	3448328 	3410717 	3463745 	3556962 	3965193 	3891585 	4304636 	1282581 	2556192 	5203280 	5906924 
A,FOR,PER,N1-3,T,NR,NO	: 	2037051 	2288247 	2216416 	1960761 	2014927 	2170791 	: 	: 	498497 	2010355 	1921691 
A,FOR,PER,N1-3,T,NR,PL	1700825 	1683933 	1598368 b	1776437 	1845190 	1947431 	1993440 	2133866 	991610 	1034147 	1788522 	2018404 
A,FOR,PER,N1-3,T,NR,PT	304597 	199226 	263395 	338485 	394075 	416465 	448445 	585279 	170424 	166335 	536789 	787880 
A,FOR,PER,N1-3,T,NR,RO	85809 	116584 	71337 	118083 	146155 	135611 	186141 	211859 	49858 u	65077 	161288 	208971 
A,FOR,PER,N1-3,T,NR,RS	: 	: 	: 	: 	: 	: 	263454 	: 	: 	: 	: 	: 
A,FOR,PER,N1-3,T,NR,SE	: 	: 	2995149 	3126353 	2882490 	4631094 	4058215 	3805411 	1101800 	1245929 	3086806 	: 
A,FOR,PER,N1-3,T,NR,SI	886486 	1108834 	1107793 	1097612 	1067855 	1277136 	1193894 	1318528 	415292 	757529 	1087973 	1706432 
A,FOR,PER,N1-3,T,NR,SK	431300 	320288 b	674033 	497727 	746000 	1043141 	1317056 	1487940 	355323 	424232 	1114088 	1436391 
A,FOR,PER,N1-3,T,NR,UK	7065007 	7318438 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,PER,N_GE1,F,NR,AL	: 	: 	: 	: 	: 	403022 	: 	473586 	138450 	: 	: 	: 
A,FOR,PER,N_GE1,F,NR,AT	4986163 	4590294 	4755384 	4594258 	5195397 	5142894 	5201013 	5482448 	1639061 	3299331 	6391824 	7494253 
A,FOR,PER,N_GE1,F,NR,BE	3887425 	5015253 	4972923 	4932462 	6246053 	5678152 b	6290677 	6708012 	2828734 	3536236 	6440862 	6869951 
A,FOR,PER,N_GE1,F,NR,BG	214533 b	275196 	313682 	268111 	293318 	361033 	511506 	548612 	90258 	74297 	467639 	561968 
A,FOR,PER,N_GE1,F,NR,CH	5989994 	5952003 	5839242 	6472911 	6400951 	7288619 	7297131 	6157518 	2971913 	3313388 	5588689 	: 
A,FOR,PER,N_GE1,F,NR,CY	538242 b	539262 	572058 	503868 	567869 	656034 	647708 	705216 	210423 	200493 	625989 	769945 
A,FOR,PER,N_GE1,F,NR,CZ	2885706 	2758197 	2558844 	2703652 	2770809 	3339005 	3559685 	3588872 	1103261 	1560588 	3323273 	3794089 
A,FOR,PER,N_GE1,F,NR,DE	34343396 	39100667 	38620683 	37973688 	40650779 	42709112 	50285015 	47602220 	15465358 	23135357 	40872957 	48769926 
A,FOR,PER,N_GE1,F,NR,DK	3202339 	3406389 b	4050758 	3655973 	3717784 	3477595 	2833961 	5022462 	1664767 	1448747 	2832764 	3073296 
A,FOR,PER,N_GE1,F,NR,EA20	87304151 	91860150 	93006470 	91403989 	96887791 	104470861 	117196179 	117365581 	36879969 	52152256 	104560789 	120436309 
A,FOR,PER,N_GE1,F,NR,EE	576920 	513599 	624893 	503484 	504644 	569228 	892635 	728264 	200272 	276992 	540204 	675135 
A,FOR,PER,N_GE1,F,NR,EL	279577 	294506 	330788 	317088 	324941 	348484 	420557 	447731 	139150 	201358 	421748 	475904 
A,FOR,PER,N_GE1,F,NR,ES	4779897 	4346592 	4602244 	5649168 b	6358276 	7023816 	7771218 	8194038 	2168846 	2711918 	6839999 	7553582 
A,FOR,PER,N_GE1,F,NR,EU27_2020	103459988 e	109414088 e	112153702 	110538544 	116392045 	130236483 	141809656 	144488479 	45177697 	61463200 	125469939 	144124313 e
A,FOR,PER,N_GE1,F,NR,FI	3743303 b	3619118 	3843627 	3962183 	3809367 	4104196 	3973484 	4178126 	947153 	731467 	2613905 	3170497 
A,FOR,PER,N_GE1,F,NR,FR	11292131 	11728448 	12591127 	11084966 	11010905 	13039847 	14473592 	14441177 	4973384 	5841839 	12639306 	14722714 
A,FOR,PER,N_GE1,F,NR,HR	1119057 	1268539 	1055387 	1105840 	618521 	775684 	804135 	952470 	191281 	260969 	562852 	789553 
A,FOR,PER,N_GE1,F,NR,HU	1877831 	1907663 	2206560 	2568649 	2879399 	3077119 	3501743 	3618418 	1099330 	1215294 	2437821 	2749885 
A,FOR,PER,N_GE1,F,NR,IE	2619970 	2641930 	2678527 	2788623 	2984638 	3354955 	3459362 	3782879 	956164 	962956 	3640964 	4395497 
A,FOR,PER,N_GE1,F,NR,IT	5924735 	5384769 	5159172 b	4456448 	4610941 	5250371 	6406169 	6652234 	1506816 	1746178 	4409048 	4253436 
A,FOR,PER,N_GE1,F,NR,LT	704719 	717924 	749028 	762503 	822289 	846824 	940370 	997980 	273276 	331042 	828641 	933960 
A,FOR,PER,N_GE1,F,NR,LU	668612 	663120 	716244 	734918 	687776 	949111 	1009100 	976706 	604036 	817882 	1215230 	1340006 
A,FOR,PER,N_GE1,F,NR,LV	643746 	543553 	703639 	610094 	593451 	645248 	648193 	699819 	231177 	231253 	684500 	813781 
A,FOR,PER,N_GE1,F,NR,ME	: 	: 	: 	: 	238107 	225661 	: 	: 	: 	: 	: 	: 
A,FOR,PER,N_GE1,F,NR,MK	: 	: 	: 	: 	: 	: 	: 	194995 	35727 	125392 	: 	: 
A,FOR,PER,N_GE1,F,NR,MT	113831 	131814 	152375 b	154408 	175211 	220698 	250436 	275172 	69957 	109556 	256035 	323933 
A,FOR,PER,N_GE1,F,NR,NL	8220991 b	8028091 	7914072 	8223572 	8385319 	9195231 	9209489 	9402913 	3155076 	5768743 	11501520 	11878633 
A,FOR,PER,N_GE1,F,NR,NO	: 	3422227 	3816912 	3665030 	3220056 	3535752 	3350279 	: 	: 	820316 	3576829 	3499715 
A,FOR,PER,N_GE1,F,NR,PL	3216918 	4429960 	5290739 b	5425036 	5509389 	5821178 	6147122 	6515543 	2500624 	2706025 	5332387 	6355747 
A,FOR,PER,N_GE1,F,NR,PT	512790 	537882 	551844 	650364 	669153 	813337 	912218 	1154888 	264846 	389474 	1049083 	1324430 
A,FOR,PER,N_GE1,F,NR,RO	400993 	506131 	514829 	546009 	564171 	547561 	628065 	799695 	207436 	462605 	722941 	1007069 
A,FOR,PER,N_GE1,F,NR,RS	: 	: 	: 	: 	: 	: 	327290 	: 	: 	: 	: 	: 
A,FOR,PER,N_GE1,F,NR,SE	: 	: 	4211819 	3967125 	3769383 	9142131 	7431395 	7029296 	1632051 	1843388 	5792325 	: 
A,FOR,PER,N_GE1,F,NR,SI	1043660 	1152232 	1215161 	1203649 	1291379 	1387528 	1358852 	1367875 	530416 	988998 	1527978 	1893566 
A,FOR,PER,N_GE1,F,NR,SK	1304987 	1042559 b	1197294 	1192405 	1380883 	1760110 	2241959 	2615412 	524546 	610216 	1498144 	1987609 
A,FOR,PER,N_GE1,F,NR,UK	21606800 	22298043 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,PER,N_GE1,M,NR,AL	: 	: 	: 	: 	: 	425245 	: 	476072 	145797 	: 	: 	: 
A,FOR,PER,N_GE1,M,NR,AT	4000273 	3967546 	4012249 	4115613 	4424064 	4609487 	4460618 	4594317 	1637118 	3268350 	5940828 	6803324 
A,FOR,PER,N_GE1,M,NR,BE	3786115 	4621251 	4891807 	4806986 	5550802 	5322303 b	5633060 	6247263 	2586223 	3268568 	6035428 	6476077 
A,FOR,PER,N_GE1,M,NR,BG	203121 b	208167 	252910 	215366 	251687 	336087 	366123 	493011 	85078 	81888 u	343404 	484226 
A,FOR,PER,N_GE1,M,NR,CH	4675744 	5669873 	5686863 	6278831 	6567965 	6986119 	7083352 	6178298 	2954845 	2796752 	5278300 	: 
A,FOR,PER,N_GE1,M,NR,CY	409257 b	369917 	426162 	412087 	452842 	475281 	540809 	556173 	175345 	188512 	441106 	665236 
A,FOR,PER,N_GE1,M,NR,CZ	2533655 	2546004 	2686375 	2740582 	2781033 	2918048 	3281428 	3182518 	1122129 	1536632 	3250253 	3620803 
A,FOR,PER,N_GE1,M,NR,DE	35345713 	37307714 	34827105 	36606473 	40066166 	37878085 	46855524 	42276233 	17784575 	22231024 	39078288 	44832557 
A,FOR,PER,N_GE1,M,NR,DK	2803558 	3658956 b	3256597 	3640506 	3147164 	3097469 	2649283 	4225598 	1539822 	1345954 	2486348 	2694431 
A,FOR,PER,N_GE1,M,NR,EA20	84811375 	85387140 	84135274 	85706980 	90559449 	92856925 	105667008 	103696287 	37544264 	49452869 	95496788 	112257225 
A,FOR,PER,N_GE1,M,NR,EE	333017 	379868 	405013 	407518 	411885 	391322 	673791 	573003 	220585 	162073 	410816 	551549 
A,FOR,PER,N_GE1,M,NR,EL	241296 	252860 	300587 	294019 	276887 	272394 	373965 	392021 	133231 	144185 	429284 	451490 
A,FOR,PER,N_GE1,M,NR,ES	4403743 	3882266 	4088685 	5434397 b	5332794 	5756252 	6692914 	7052531 	1750959 	2720954 	5517377 	6656880 
A,FOR,PER,N_GE1,M,NR,EU27_2020	100272615 e	102185551 e	101246796 	104010322 	109346762 	116287362 	129374280 	129378902 	46512692 	60022278 	117065979 	136185874 e
A,FOR,PER,N_GE1,M,NR,FI	3383263 b	3404646 	3218424 	3298121 	3468064 	3509829 	3439635 	3174392 	1012449 	782393 	2586655 	2943459 
A,FOR,PER,N_GE1,M,NR,FR	10374780 	10555688 	11573417 	10081258 	9960370 	11430002 	11742350 	11496605 	4253171 	5179015 	10682009 	14291400 
A,FOR,PER,N_GE1,M,NR,HR	1054323 	1090138 	970927 	959960 	592879 	729873 	754449 	873682 	239281 	272306 	582982 	942463 
A,FOR,PER,N_GE1,M,NR,HU	1689763 	1787262 	2095411 	2414516 	2731344 	2964468 	3368965 	3659992 	1200251 	1299154 	2471760 	2860155 
A,FOR,PER,N_GE1,M,NR,IE	2387505 	2296613 	2242624 	2409277 	2593034 	2874454 	3029951 	3334168 	850333 	877819 	3323237 	4008137 
A,FOR,PER,N_GE1,M,NR,IT	6099671 	4563515 	4499099 b	4098945 	4198941 	4716428 	5589231 	6147114 	1294141 	1776070 	4150039 	4375000 
A,FOR,PER,N_GE1,M,NR,LT	682437 	707884 	675202 	712194 	717837 	736733 	818209 	845591 	231975 	287215 	650769 	718044 
A,FOR,PER,N_GE1,M,NR,LU	643092 	688527 	799256 	716592 	705700 	993957 	1024522 	1066307 	648166 	818989 	1290024 	1301211 
A,FOR,PER,N_GE1,M,NR,LV	473156 	422263 	493328 	477241 	460386 	463671 	544929 	561547 	150176 	198751 	490342 	662160 
A,FOR,PER,N_GE1,M,NR,ME	: 	: 	: 	: 	256995 	204557 	: 	: 	: 	: 	: 	: 
A,FOR,PER,N_GE1,M,NR,MK	: 	: 	: 	: 	: 	: 	: 	174678 	44737 	129706 	: 	: 
A,FOR,PER,N_GE1,M,NR,MT	123396 	141112 	137447 b	162809 	158796 	214654 	264140 	283194 	80223 	115222 	252803 	334005 
A,FOR,PER,N_GE1,M,NR,NL	8484114 b	8285687 	8355743 	7895514 	8389593 	9217239 	9573079 	10178498 	3421739 	5162454 	9982823 	11317408 
A,FOR,PER,N_GE1,M,NR,NO	: 	2896449 	3654891 	3522381 	3413148 	3447644 	3171010 	: 	: 	846875 	3148734 	2660005 
A,FOR,PER,N_GE1,M,NR,PL	3590569 	3964833 	4185178 b	4680765 	4902400 	5072222 	5433066 	5822371 	2986035 	3250556 	5180618 	5860597 
A,FOR,PER,N_GE1,M,NR,PT	468685 	456694 	487581 	549711 	542660 	703949 	714318 	914187 	247681 	294068 	827719 	1056900 
A,FOR,PER,N_GE1,M,NR,RO	370261 	448248 	507521 	466199 	488401 	515078 	626309 	765556 	186830 	441646 	741959 	880443 
A,FOR,PER,N_GE1,M,NR,RS	: 	: 	: 	: 	: 	: 	361295 	: 	: 	: 	: 	: 
A,FOR,PER,N_GE1,M,NR,SE	: 	: 	4127530 	4145410 	4485282 	8527066 	7982097 	7533570 	1848282 	2613579 	7094849 	: 
A,FOR,PER,N_GE1,M,NR,SI	1035759 	1141433 	1034559 	1213472 	1145160 	1180051 	1337749 	1347073 	518648 	924504 	1317403 	1918237 
A,FOR,PER,N_GE1,M,NR,SK	1081779 	851517 b	696058 	1054794 	1110588 	1380962 	1603767 	1782386 	308247 	780396 	1506856 	1951690 
A,FOR,PER,N_GE1,M,NR,UK	23017590 	24129316 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,PER,N_GE1,T,NR,AL	: 	: 	: 	: 	: 	828267 	: 	949658 	284247 	: 	: 	: 
A,FOR,PER,N_GE1,T,NR,AT	8986436 	8557840 	8767633 	8709870 	9619462 	9752381 	9661631 	10076766 	3276179 	6567680 	12332652 	14297576 
A,FOR,PER,N_GE1,T,NR,BE	7673540 	9636505 	9864730 	9739448 	11796855 	11000455 b	11923737 	12955274 	5414957 	6804804 	12476289 	13346028 
A,FOR,PER,N_GE1,T,NR,BG	417654 b	483363 	566592 	483477 	545006 	697120 	877630 	1041623 	175336 	156184 	811044 	1046194 
A,FOR,PER,N_GE1,T,NR,CH	10665738 	11621877 	11526105 	12751742 	12968916 	14274738 	14380484 	12335815 	5926758 	6110140 	10866989 	: 
A,FOR,PER,N_GE1,T,NR,CY	947499 b	909179 	998220 	915955 	1020710 	1131315 	1188517 	1261390 	385768 	389006 	1067094 	1435181 
A,FOR,PER,N_GE1,T,NR,CZ	5419360 	5304202 	5245220 	5444234 	5551842 	6257053 	6841113 	6771389 	2225391 	3097221 	6573526 	7414892 
A,FOR,PER,N_GE1,T,NR,DE	69689109 	76408381 	73447789 	74580160 	80716945 	80587197 	97140538 	89878453 	33249934 	45366381 	79951245 	93602483 
A,FOR,PER,N_GE1,T,NR,DK	6005897 	7065345 b	7307355 	7296479 	6864949 	6575065 	5483245 	9248060 	3204590 	2794701 	5319112 	5767726 
A,FOR,PER,N_GE1,T,NR,EA20	172115526 	177247290 	177141744 	177110968 	187447240 	197327786 	222863187 	221061868 	74424234 	101605125 	200057577 	232693534 
A,FOR,PER,N_GE1,T,NR,EE	909937 	893467 	1029906 	911002 	916529 	960550 	1566425 	1301267 	420856 	439065 	951019 	1226683 
A,FOR,PER,N_GE1,T,NR,EL	520872 	547366 	631374 	611108 	601828 	620878 	794522 	839751 	272380 	345543 	851032 	927394 
A,FOR,PER,N_GE1,T,NR,ES	9183640 	8228858 	8690930 	11083565 b	11691070 	12780069 	14464132 	15246570 	3919804 	5432872 	12357376 	14210462 
A,FOR,PER,N_GE1,T,NR,EU27_2020	203732603 e	211599638 e	213400498 	214548867 	225738806 	246523845 	271183936 	273867381 	91690389 	121485478 	242535918 	280310187 e
A,FOR,PER,N_GE1,T,NR,FI	7126566 b	7023765 	7062051 	7260303 	7277431 	7614025 	7413119 	7352518 	1959602 	1513859 	5200560 	6113956 
A,FOR,PER,N_GE1,T,NR,FR	21666911 	22284136 	24164544 	21166224 	20971275 	24469849 	26215942 	25937782 	9226555 	11020854 	23321315 	29014113 
A,FOR,PER,N_GE1,T,NR,HR	2173381 	2358676 	2026314 	2065800 	1211400 	1505557 	1558584 	1826152 	430561 	533276 	1145835 	1732016 
A,FOR,PER,N_GE1,T,NR,HU	3567594 	3694925 	4301971 	4983165 	5610743 	6041587 	6870708 	7278410 	2299581 	2514448 	4909581 	5610040 
A,FOR,PER,N_GE1,T,NR,IE	5007475 	4938543 	4921151 	5197900 	5577673 	6229409 	6489313 	7117047 	1806497 	1840775 	6964201 	8403634 
A,FOR,PER,N_GE1,T,NR,IT	12024406 	9948283 	9658271 b	8555393 	8809882 	9966799 	11995399 	12799348 	2800956 	3522248 	8559087 	8628436 
A,FOR,PER,N_GE1,T,NR,LT	1387157 	1425809 	1424229 	1474698 	1540126 	1583558 	1758578 	1843571 	505251 	618256 	1479410 	1652003 
A,FOR,PER,N_GE1,T,NR,LU	1311703 	1351647 	1515500 	1451510 	1393476 	1943068 	2033621 	2043013 	1252202 	1636872 	2505254 	2641217 
A,FOR,PER,N_GE1,T,NR,LV	1116903 	965816 	1196966 	1087335 	1053837 	1108919 	1193122 	1261366 	381353 	430004 	1174842 	1475941 
A,FOR,PER,N_GE1,T,NR,ME	: 	: 	: 	: 	495102 	430217 	: 	: 	: 	: 	: 	: 
A,FOR,PER,N_GE1,T,NR,MK	: 	: 	: 	: 	: 	: 	: 	369672 	80464 	255098 	: 	: 
A,FOR,PER,N_GE1,T,NR,MT	237227 	272927 	289822 b	317216 	334007 	435351 	514576 	558365 	150179 	224778 	508838 	657938 
A,FOR,PER,N_GE1,T,NR,NL	16705105 b	16313778 	16269816 	16119086 	16774912 	18412469 	18782568 	19581411 	6576815 	10931198 	21484343 	23196041 
A,FOR,PER,N_GE1,T,NR,NO	: 	6318676 	7471803 	7187410 	6633205 	6983396 	6521289 	: 	: 	1667191 	6725564 	6159720 
A,FOR,PER,N_GE1,T,NR,PL	6807487 	8394793 	9475917 b	10105801 	10411789 	10893400 	11580188 	12337914 	5486659 	5956581 	10513005 	12216343 
A,FOR,PER,N_GE1,T,NR,PT	981475 	994575 	1039425 	1200075 	1211813 	1517287 	1626535 	2069074 	512527 	683542 	1876802 	2381330 
A,FOR,PER,N_GE1,T,NR,RO	771254 	954379 	1022350 	1012208 	1052572 	1062640 	1254374 	1565251 	394265 	904251 	1464900 	1887512 
A,FOR,PER,N_GE1,T,NR,RS	: 	: 	: 	: 	: 	: 	688585 	: 	: 	: 	: 	: 
A,FOR,PER,N_GE1,T,NR,SE	: 	: 	8339349 	8112535 	8254665 	17669196 	15413492 	14562866 	3480334 	4456967 	12887174 	: 
A,FOR,PER,N_GE1,T,NR,SI	2079418 	2293665 	2249720 	2417122 	2436538 	2567579 	2696602 	2714948 	1049064 	1913501 	2845381 	3811803 
A,FOR,PER,N_GE1,T,NR,SK	2386766 	1894077 b	1893353 	2247199 	2491471 	3141072 	3845726 	4397799 	832792 	1390612 	3005000 	3939299 
A,FOR,PER,N_GE1,T,NR,UK	44624391 	46427359 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,PER,N_GE4,F,NR,AL	: 	: 	: 	: 	: 	296454 	: 	331486 	74631 	: 	: 	: 
A,FOR,PER,N_GE4,F,NR,AT	3420406 	3164018 	3305521 	3102205 	3524491 	3477399 	3380223 	3623352 	1047980 	2266115 	4065422 	4805348 
A,FOR,PER,N_GE4,F,NR,BE	2806923 	3644340 	3527456 	3431003 	4349667 	3864102 b	4318916 	4621838 	2061857 	2614984 	4632271 	4884034 
A,FOR,PER,N_GE4,F,NR,BG	145720 b	184542 	204299 	196483 	207043 	277963 	332690 	379702 	57773 u	45459 u	350420 	386208 
A,FOR,PER,N_GE4,F,NR,CH	3916870 	4134202 	3984627 	4408358 	4553348 	5127432 	5058051 	4249471 	2170593 	2612897 	4034820 	: 
A,FOR,PER,N_GE4,F,NR,CY	453046 b	442138 	499950 	414225 	468844 	524847 	519081 	524623 	160313 	156297 	499195 	591746 
A,FOR,PER,N_GE4,F,NR,CZ	2391786 	2179121 	2031011 	2102361 	2176063 	2599259 	2640670 	2722151 	832537 	1335814 	2669374 	2889429 
A,FOR,PER,N_GE4,F,NR,DE	27897712 	31824185 	31547581 	30697455 	32892306 	34844800 	41425064 	38032152 	12260200 	18636975 	33247409 	41026026 
